Topics,Perplexity,Decrease
10,81.03107757089228,0
11,78.71559173332716,2.8575281323876673
12,73.62034043864512,6.472988619514855
13,70.94591509419183,3.6327261304668075
14,68.3235045017299,3.6963517758284894
15,65.73772158893246,3.784616921592438
16,64.92839519255377,1.2311445800320393
17,58.8140413882657,9.417072124076281
18,64.11114199577469,-9.006523752618435
19,56.03497077036178,12.597141423475463
20,51.46104843687675,8.162621075023893
21,52.42294511923088,-1.8691742814645789
22,56.38037196852354,-7.5490357138308
23,53.81804611656795,4.544712570158469
24,49.85435335093936,7.364988236554279
25,53.186435026392786,-6.683632323937544
26,46.955892591908025,11.714532909364896
27,47.26821580347729,-0.6651416772835185
28,45.06816346511407,4.654401062037493
29,42.639151501487426,5.389640439879181
30,44.69646202420211,-4.824933072701786
31,42.914476273946335,3.986860860018123
32,38.14062501592877,11.124104667020724
33,47.567952042213925,-24.717285105705518
34,46.10120623630502,3.0834747827849545
35,37.22234623494126,19.259496065791858
