Topics,Perplexity,Decrease
10,502.93256021425685,0
11,482.76718661003395,4.009558179258101
12,470.1777178446663,2.6077722584606984
13,457.5449314742386,2.6868109421130058
14,443.837182821928,2.9959349802309747
15,428.64158327983705,3.4236878139584808
16,416.43925565208235,2.846743784022572
17,407.70758742077317,2.0967447503566117
18,401.256695122915,1.5822350372892473
19,388.13778887712834,3.269454791718306
20,379.3827781058278,2.255645036941271
21,373.1048849713608,1.6547649225964163
22,365.825856679581,1.9509335269996493
23,361.4787410095943,1.1883019175963536
24,350.52208806912813,3.031064263935603
25,342.42515310628346,2.3099642614384504
26,337.35818323177693,1.4797306297571595
27,331.12256046978746,1.848368609960584
28,322.97429332419676,2.4608009596296188
29,317.36272462872716,1.7374660496081002
30,315.6692422932712,0.5336109769781856
31,309.91315472536036,1.823455312305403
32,305.9528145318372,1.2778870897018715
33,294.9434110613994,3.59839914768693
34,291.5105183036567,1.1639157306104626
35,285.94850429921684,1.9079977068429768
