Topics,Perplexity,Decrease
10,346.7709820656192,0
11,331.4426586939465,4.420301629728675
12,321.1275233847407,3.1121930260433905
13,313.43284141096063,2.396145273589993
14,303.99776003906044,3.0102401935377583
15,295.52853269948037,2.785950573613394
16,285.55756415838084,3.3739444547098567
17,278.9638632618728,2.3090618929817346
18,269.87111747508146,3.25947084345318
19,266.00206302414193,1.4336674806620529
20,257.96632694660667,3.020929983090376
21,251.05930205318725,2.677490886184157
22,245.28525791425997,2.2998726164322885
23,242.76307830612205,1.0282638384323741
24,236.56399749731787,2.553551739440047
25,230.42803549586603,2.593785219376593
26,224.67349743560848,2.497325487271614
27,220.80798853908243,1.720500611174181
28,215.8509857675874,2.244938149335872
29,211.43038309005323,2.047988181204762
30,207.93966897891403,1.650999284077549
31,203.4735918328652,2.1477754427423426
32,201.8832423632166,0.7815999390008932
33,198.2527968689298,1.7982896706974334
34,196.15858167244193,1.0563357640156883
35,190.89554856261077,2.6830501449178006
