Topics,Perplexity,Decrease
10,353.49835378994806,0
11,333.5698406508061,5.637512289798006
12,322.6835980552537,3.263557213179997
13,315.79699358329543,2.1341662586702217
14,305.6995884155162,3.1974354958879383
15,300.3232914596317,1.7586863573322329
16,288.9058793387587,3.801707175418221
17,279.7755717987371,3.160305204213528
18,275.75454083041353,1.4372344742149838
19,264.0420335178757,4.2474395080735565
20,259.71234176252926,1.6397736745400948
21,257.2717620580692,0.9397241917334906
22,247.9695440277237,3.6157166864841863
23,242.85653914289412,2.0619487384539226
24,236.65946730090008,2.55174180768003
25,231.53678953683672,2.1645775774311784
26,226.56577441142772,2.1469655579802036
27,221.65256117509784,2.1685593285629396
28,219.14945867963374,1.1292910319618374
29,212.95633058202353,2.825983753244726
30,211.71575942485595,0.5825472075786701
31,203.7657689330017,3.755030099531121
32,203.43328705513565,0.1631686615504976
33,199.32495475066798,2.019498560898838
34,196.17606604781227,1.5797764543805382
35,194.63990655877947,0.7830514292494799
