Topics,Perplexity,Decrease
10,347.2549648274797,0
11,332.21805914896373,4.330220501235011
12,322.8954388678179,2.806175048107675
13,311.3466967260635,3.5766197820100105
14,302.0624149521618,2.9819753578662187
15,293.987890630895,2.673131088667755
16,284.10316125651974,3.3622913355930115
17,278.96617344817076,1.8081417276841691
18,271.143478403837,2.804173333146847
19,263.7505268593637,2.726582836509295
20,259.50163191116394,1.6109522126055573
21,252.07594362250543,2.8615189176153493
22,245.06468165328553,2.7814085979261742
23,239.3622246902147,2.3269191319614935
24,233.7930155648085,2.3266867328852423
25,228.6327748459691,2.2071834380394377
26,225.9465753525402,1.1748969478407423
27,222.18558673732997,1.6645477406957983
28,217.55333345867766,2.084857684368433
29,211.54787966282814,2.7604512881390537
30,207.19703106640216,2.0566732237451397
31,202.53028941315878,2.2523207158059075
32,201.04465748628144,0.7335356756670993
33,196.62475201662676,2.198469496736703
34,191.84491815891948,2.43094209080202
35,190.02736281554712,0.947408646950317
