Topics,Perplexity,Decrease
10,350.0033082290025,0
11,339.02581190792176,3.136397874816181
12,329.57701698917793,2.7870429291413625
13,320.4925875358126,2.7563904596125446
14,307.48201133968394,4.059556040332711
15,299.9110096029107,2.4622584273423773
16,293.7529152847703,2.05330718812019
17,287.5381197266047,2.1156540870891027
18,278.6136830825931,3.1037403501480236
19,274.447120778481,1.495462196261542
20,267.7670237252272,2.434019724566766
21,263.06238197676396,1.75699071641136
22,254.5675136484499,3.229222006004796
23,249.74293621427472,1.8952054663336892
24,248.3467202213586,0.5590612547768715
25,240.5353191713911,3.1453610673839214
26,238.862508908455,0.6954530705505937
27,234.0128859993774,2.03029890761812
28,228.5028117264554,2.3546029311123733
29,222.9953958655516,2.4102179834429522
30,221.69339590228353,0.5838685405204784
31,219.87794154496814,0.8189032198846339
32,214.4986711570133,2.4464802381528163
33,208.5411573569536,2.777412917257093
34,208.72873486664204,-0.08994747706678433
35,203.33133461613852,2.585844375453122
